query_id,question,generated_answer,qual_score
Q11,How has GCPL's consolidated revenue evolved from FY 2022-23 to FY 2024-25?,"Total revenue 122,765,000,000 133,159,700,000 140,961,100,000 143,642,900,000 Total operating expenses 90,340,000,000 97,912,900,000 96,895,300,000 99,920,200,000 Total employee- related expenses 11,041,400,000 11,114,800,000 12,493,400,000 11,487,800,000 (salaries + benefits) HCROI (a (bc))/c 3.937 4.171 4.527 4.81 Total Employ",1
Q12,What specific goal did GCPL achieve two years early regarding its 2026 sustainability targets?,"a brighter, greener approximately 652.47 lakhs across future",0
Q13,What percentage of GCPL's total energy consumption was derived from renewable sources by FY 2024-25?,35%,0
Q14,What was the performance of the Fab liquid detergent brand in its first year?,"165 Enhanced, digitally enabled consumer insight Continuing our commitment to consumer-centricity, our innovation strategy remains delivered 15 per cent growth globally, new Saniter brand in Indonesia being scaled backed by strong innovation and full up to 150 crore in just a year. This is the portfolios across formats and price points. fastest we have built a new brand to over 100 crore. South Indonesia Africa Magic, our revolutionary powder-to-liquid hand wash, becomes",2
Q15,What was the financial impact of the West Africa GTM shift and macro pressures on FY 2024-25 revenue?,"We do our business with the lowest profitability, The external environment continues to this to maintain the quality that consumers so we must focus both on expanding be very volatile due to high inflation, the expect from us.1 future maintainable cash flows by an appropriate capitalisation rate and then discounted using pre tax discount rate. During the quarter ended March 31, 2024, the group refreshed its long term strategy for Africa (Including Strength of Nature), enhancing focus on ‘profitable’ growth which resulted in various reorganis",0
Q16,Which new categories did GCPL enter through the acquisition of Raymond Consumer Care's business?,FMCG,0
Q17,How is executive compensation linked to ESG performance at GCPL?,"For renewables, goals for executive compensation include to increase renewable energy use, decrease specific energy and reduce emissions 20 Material issues of our external stakeholders Product Safety and Quality Testing Sustainable Packaging Type of impact Type of impact Negative Positive Business Case Business Case We understand the failure to adapt to ever evolving GCPL is proactively adapting best practices in • OHS training coverage – 100% Link to executive At GCPL, the executive compensation of all leaders comprises of 15% of people & planet goals. They compensation are in line with the company’s vision to foster an inspiring workplace and build an equitable and greener planet. For renewables, goals for executive compensation include to increase renewable energy use, decrease specific energy and reduce emissions 20 Material issues of",1
Q18,What is Project EMBED and what is its population coverage target for FY 2025-26?,"Protecting people from vector-borne diseases Project EMBED was started in 2015 in We worked in each location for 3 years, In the fiscal year 2020-21, we initiated Project EMBED was started in 2015 in We worked in each location for 3 years, In the fiscal year 2020-21, we initiated Madhya Pradesh in partnership with the spreading awareness among households interventions on dengue and chikungunya Ministry of Health and Family Welfare’s and people at the bottom of the pyramid prevention in urban areas of the National Centre for Vector-borne and vulnerable and marginalised gro",2
Q19,What is GCPL's strategy for rural distribution in India?,"reducing in Madhya Pradesh. Lucknow, program and  4.92 worth waste across all its plants, Kanpur, Agra, Meerut, Firozabad of value for the urban processes, products, and supply and Prayagraj in Uttar Pradesh.",0
Q20,What digital transformation initiatives has GCPL undertaken across its operations?,"We have now established GCPL International belief that GCPL can be a consumer products Operations—a focused team that looks company with ideas and impact that travel at distribution, innovation, marketing and across the world. execution across 80+ export countries, with a highly lean centralised set-up. We are scaling up our global blockbuster portfolio 50 Your media and creative approach seems to have fundamentally shifted. What is driving this change? has already doubled our Rural footprint. The outsourcing direct operations to distributors. resultant scale-up in in Direct Distribution This strategic move has significantly reduced has widened GCPL’s reach into previously operational complexity, freed up our sales untapped markets. With 100%",1
